607,379,-1318.4
402,746,-867.4
935,175,-2040
963,809,-2101.6
486,17,-1052.2
963,595,-2101.6
73,301,-143.6
195,161,-412
2,19,12.6
875,825,-1908
861,718,-1877.2
21,770,-29.2
8,977,-0.6
326,309,-700.2
803,275,-1749.6
532,885,-1153.4
959,414,-2092.8
109,478,-222.8
821,730,-1789.2
689,151,-1498.8
813,418,-1771.6
781,235,-1701.2
441,172,-953.2
755,934,-1644
911,576,-1987.2
140,309,-291
823,124,-1793.6
312,698,-669.4
272,960,-581.4
826,52,-1800.2
237,711,-504.4
212,869,-449.4
799,742,-1740.8
306,968,-656.2
377,942,-812.4
20,173,-27
595,711,-1292
526,589,-1140.2
19,370,-24.8
386,505,-832.2
346,833,-744.2
117,221,-240.4
523,957,-1133.6
886,641,-1932.2
973,577,-2123.6
732,445,-1593.4
531,600,-1151.2
1000,308,-2183
346,871,-744.2
366,335,-788.2
11,312,-7.2
8,759,-0.6
209,260,-442.8
762,131,-1659.4
793,578,-1727.6
342,134,-735.4
58,532,-110.6
196,542,-414.2
584,267,-1267.8
925,587,-2018
371,235,-799.2
248,282,-528.6
134,567,-277.8
884,451,-1927.8
483,845,-1045.6
341,37,-733.2
324,196,-695.8
714,22,-1553.8
391,563,-843.2
332,54,-713.4
508,337,-1100.6
34,459,-57.8
783,876,-1705.6
708,690,-1540.6
778,232,-1694.6
255,489,-544
307,657,-658.4
819,207,-1784.8
138,979,-286.6
698,922,-1518.6
940,117,-2051
396,939,-854.2
377,414,-812.4
56,237,-106.2
129,27,-266.8
102,611,-207.4
757,917,-1648.4
867,646,-1890.4
997,627,-2176.4
99,221,-200.8
173,553,-363.6
485,470,-1050
938,586,-2046.6
510,528,-1105
217,746,-460.4
52,619,-97.4
650,575,-1413
403,326,-869.6
221,580,-469.2
49,48,-90.8
467,150,-1010.4
571,547,-1239.2
730,866,-1589
971,169,-2119.2
503,437,-1089.6
374,206,-805.8
756,701,-1646.2
428,253,-924.6
619,85,-1344.8
835,93,-1820
102,988,-207.4
505,983,-1094
816,884,-1778.2
381,761,-821.2
136,119,-282.2
727,909,-1582.4
99,439,-200.8
761,827,-1657.2
704,91,-1531.8
878,297,-1914.6
847,342,-1846.4
328,258,-704.6
102,766,-207.4
693,516,-1507.6
85,282,-170
511,470,-1107.2
438,699,-946.6
283,379,-605.6
699,682,-1520.8
570,416,-1237
504,7,-1091.8
52,946,-97.4
913,831,-1991.6
278,870,-594.6
692,863,-1505.4
50,522,-93
325,656,-698
21,122,-29.2
110,712,-225
215,784,-456
926,490,-2020.2
688,892,-1496.6
366,156,-788.2
994,759,-2169.8
65,193,-126
513,692,-1111.6
806,966,-1756.2
731,72,-1591.2
598,906,-1298.6
113,88,-231.6
547,508,-1186.4
889,354,-1938.8
256,232,-546.2
396,772,-854.2
255,562,-544
422,291,-911.4
671,91,-1459.2
924,525,-2015.8
179,344,-376.8
899,760,-1960.8
686,80,-1492.2
722,538,-1571.4
392,684,-845.4
825,761,-1798
624,426,-1355.8
832,248,-1813.4
85,192,-170
26,319,-40.2
11,399,-7.2
806,335,-1756.2
98,256,-198.6
335,588,-720
412,650,-889.4
992,475,-2165.4
982,302,-2143.4
219,623,-464.8
371,892,-799.2
192,875,-405.4
179,832,-376.8
619,787,-1344.8
944,531,-2059.8
160,11,-335
847,395,-1846.4
741,880,-1613.2
385,18,-830
261,113,-557.2
785,192,-1710
325,642,-698
379,478,-816.8
952,225,-2077.4
440,527,-951
496,682,-1074.2
59,745,-112.8
310,819,-665
129,921,-266.8
20,858,-27
135,526,-280
301,176,-645.2
233,546,-495.6
647,895,-1406.4
