-6.2213,2.8432,10.547,1
-14.973,-6.4275,3.8337,1
-5.985,-3.9402,11.986,1
-6.8994,1.8714,11.225,1
-4.8246,4.9447,17.261,1
-13.687,-10.746,10.329,1
-8.8216,-2.7069,16.972,1
-10.561,-5.5601,7.2311,1
-10.951,-3.8594,11.655,1
-9.2143,-6.6141,12.37,1
-9.2183,-3.0738,16.75,1
-9.3378,-0.21186,13.946,1
-10.85,-7.6872,12.408,1
-8.2032,-0.32985,12.259,1
-6.9312,-6.2627,10.554,1
-7.9033,-4.3985,15.073,1
-9.7414,-0.46448,9.556,1
-11.695,-11.532,13.125,1
-7.5398,-6.4968,4.5944,1
-11.376,-6.5851,10.714,1
-11.232,-7.3221,7.5309,1
-12.835,-3.3887,10.872,1
-9.1594,-7.7319,14.93,1
-4.1488,-0.38798,15.761,1
-12.238,-6.6583,15.426,1
-9.2419,-9.8616,11.484,1
-10.509,-2.0251,11.958,1
-8.5904,-1.0244,5.3105,1
-11.376,-5.903,9.3316,1
-7.615,-8.158,15.777,1
-7.6123,-0.48337,9.2189,1
-9.6055,-5.4933,11.144,1
-8.8326,-3.9208,14.979,1
-15.47,-5.3264,5.1218,1
-16.735,-6.622,8.7138,1
-18.023,-8.1857,12.638,1
-10.47,-1.5077,8.8972,1
-6.5016,-4.5561,16.866,1
-12.065,-3.8225,5.2777,1
-11.002,-3.4481,14.701,1
-11.837,-0.26639,11.089,1
-11.399,-9.3733,8.5516,1
-11.247,-6.239,11.601,1
-7.1518,-4.2214,14.223,1
-9.0528,-8.004,15.86,1
-14.906,-10.201,9.9663,1
-7.3194,0.22651,16.258,1
-10.003,-7.1339,13.641,1
-1.0042,1.1953,12.619,1
-5.5606,-5.9546,14.538,1
-5.0503,-4.3277,14.92,1
-14.445,-4.0039,8.8948,1
-13.368,-9.1677,10.74,1
-13.997,-7.8526,14.243,1
-10.74,-6.6697,9.7333,1
-11.877,-8.5444,13.087,1
-7.3039,-2.9883,16.96,1
-13.1,-8.4178,12.596,1
-5.6926,0.90877,12.957,1
-10.614,0.67835,13.684,1
-12.409,-6.4143,13.446,1
-8.9334,-1.8409,10.473,1
-15.469,-12.121,6.9936,1
-11.293,-3.1934,10.551,1
